Time (s),
0.98,-1.06156E-06
0.99,-1.31247E-05
1,7.52739E-06
1.01,6.58165E-05
1.02,4.37168E-05
1.03,-8.49245E-06
1.04,2.8855E-05
1.05,2.7697E-05
1.06,-3.08816E-06
1.07,1.53443E-05
1.08,4.31378E-05
1.09,5.58764E-05
1.1,2.22927E-05
1.11,-1.23527E-05
1.12,-2.99166E-06
1.13,2.68284E-05
1.14,5.16302E-05
1.15,2.8469E-05
1.16,9.94002E-06
1.17,2.76005E-05
1.18,1.95905E-05
1.19,1.22561E-05
1.2,2.26787E-05
1.21,3.07851E-05
1.22,3.04956E-05
1.23,1.92045E-05
1.24,1.70814E-05
1.25,2.00731E-05
1.26,3.16537E-05
1.27,1.43793E-05
1.28,-4.34273E-06
1.29,3.94706E-05
1.3,4.52609E-05
1.31,2.65389E-05
1.32,1.70814E-05
1.33,-5.11477E-06
1.34,1.48618E-05
1.35,4.31378E-05
1.36,3.33908E-05
1.37,2.54773E-05
1.38,1.38967E-05
1.39,8.49245E-06
1.4,0.000009554
1.41,2.54773E-05
1.42,4.28482E-05
1.43,3.98566E-05
1.44,1.36072E-05
1.45,-3.08816E-06
1.46,1.88185E-05
1.47,3.01096E-05
1.48,2.23892E-05
1.49,3.19432E-05
1.5,2.9241E-05
1.51,2.70214E-05
1.52,1.68884E-05
1.53,4.92176E-06
1.54,1.84325E-05
1.55,2.66354E-05
1.56,2.7697E-05
1.57,2.59599E-05
1.58,2.67319E-05
1.59,2.96271E-05
1.6,2.54773E-05
1.61,6.36933E-06
1.62,-4.53574E-06
1.63,3.31977E-05
1.64,5.26918E-05
1.65,1.99766E-05
1.66,1.54408E-05
1.67,1.77569E-05
1.68,1.18701E-05
1.69,2.79865E-05
1.7,2.46088E-05
1.71,2.14241E-05
1.72,2.62494E-05
1.73,2.19067E-05
1.74,3.19432E-05
1.75,1.24492E-05
1.76,7.14137E-06
1.77,2.8276E-05
1.78,3.69614E-05
1.79,2.85655E-05
1.8,1.41862E-05
1.81,1.8143E-05
1.82,1.45723E-05
1.83,1.08086E-05
1.84,3.75405E-05
1.85,4.37168E-05
1.86,2.49948E-05
1.87,-4.14972E-06
1.88,-9.65051E-08
1.89,3.8602E-05
1.9,3.69614E-05
1.91,2.02661E-05
1.92,1.65989E-05
1.93,2.56703E-05
1.94,1.9494E-05
1.95,1.55373E-05
1.96,2.7697E-05
1.97,2.55738E-05
1.98,3.23292E-05
1.99,1.56338E-05
2,-1.54408E-05
2.01,2.38368E-05
2.02,5.53939E-05
2.03,3.8602E-05
2.04,1.99766E-05
2.05,9.4575E-06
2.06,6.27283E-06
2.07,1.32212E-05
2.08,3.49348E-05
2.09,2.55738E-05
2.1,1.71779E-05
2.11,3.81195E-05
2.12,1.46688E-05
2.13,6.46584E-06
2.14,3.64789E-05
2.15,2.68284E-05
2.16,7.6239E-06
2.17,1.17736E-05
2.18,2.9434E-05
2.19,4.15937E-05
2.2,1.8722E-05
2.21,6.36933E-06
2.22,2.62494E-05
2.23,3.19432E-05
2.24,1.60198E-05
2.25,1.72744E-05
2.26,2.69249E-05
2.27,2.57669E-05
2.28,2.03626E-05
2.29,6.17632E-06
2.3,3.34873E-05
2.31,4.7384E-05
2.32,4.14972E-06
2.33,2.89515E-06
2.34,2.69249E-05
2.35,3.26187E-05
2.36,3.28117E-05
2.37,1.26422E-05
2.38,1.30282E-05
2.39,3.07851E-05
2.4,2.63459E-05
2.41,2.69249E-05
2.42,1.988E-05
2.43,2.53808E-05
2.44,2.42228E-05
2.45,1.10016E-05
2.46,1.8722E-05
2.47,3.00131E-05
2.48,3.37768E-05
2.49,2.53808E-05
2.5,4.53574E-06
2.51,1.07121E-05
2.52,3.31012E-05
2.53,3.8023E-05
2.54,1.20631E-05
2.55,1.65024E-05
2.56,3.19432E-05
2.57,1.20631E-05
2.58,1.14841E-05
2.59,3.44523E-05
2.6,2.22927E-05
2.61,2.30647E-05
2.62,2.62494E-05
2.63,1.02295E-05
2.64,2.32577E-05
2.65,2.71179E-05
2.66,2.26787E-05
2.67,3.7444E-05
2.68,2.32577E-05
2.69,2.89515E-06
2.7,1.53443E-05
2.71,3.21362E-05
2.72,0.000028662
2.73,1.66954E-05
2.74,1.75639E-05
2.75,3.8409E-05
2.76,3.94706E-05
2.77,-9.65051E-08
2.78,-9.74701E-06
2.79,3.69614E-05
2.8,5.07617E-05
2.81,1.84325E-05
2.82,5.30778E-06
2.83,2.7697E-05
2.84,2.95306E-05
2.85,3.7637E-06
2.86,1.20631E-05
2.87,3.26187E-05
2.88,3.52244E-05
2.89,3.00131E-05
2.9,1.62129E-05
2.91,1.62129E-05
2.92,2.72144E-05
2.93,1.69849E-05
2.94,1.10016E-05
2.95,3.47418E-05
2.96,3.7251E-05
2.97,1.38002E-05
2.98,1.53443E-05
2.99,2.17136E-05
3,1.79499E-05
3.01,2.59599E-05
3.02,3.10746E-05
3.03,1.70814E-05
3.04,1.93975E-05
3.05,3.55139E-05
3.06,1.61163E-05
3.07,1.07121E-05
3.08,2.22927E-05
3.09,1.45723E-05
3.1,2.55738E-05
3.11,3.42593E-05
3.12,2.38368E-05
3.13,2.30647E-05
3.14,2.8469E-05
3.15,2.48983E-05
3.16,1.0326E-05
3.17,5.21127E-06
3.18,4.37168E-05
3.19,5.01826E-05
3.2,5.21127E-06
3.21,3.95671E-06
3.22,2.69249E-05
3.23,4.34273E-05
3.24,2.42228E-05
3.25,-2.50913E-06
3.26,3.48383E-05
3.27,6.32108E-05
3.28,1.22561E-05
3.29,-1.34142E-05
3.3,1.31247E-05
3.31,2.99166E-05
3.32,3.26187E-05
3.33,1.32212E-05
3.34,1.92045E-05
3.35,4.86386E-05
3.36,1.988E-05
3.37,-3.28117E-06
3.38,9.65051E-06
3.39,2.15206E-05
3.4,4.38133E-05
3.41,2.74074E-05
3.42,1.53443E-05
3.43,3.04956E-05
3.44,2.51878E-05
3.45,1.45723E-05
3.46,1.68884E-05
3.47,1.69849E-05
3.48,3.54174E-05
3.49,3.94706E-05
3.5,8.97497E-06
3.51,1.45723E-05
3.52,3.99531E-05
3.53,3.07851E-05
3.54,1.53443E-05
3.55,1.46688E-05
3.56,1.77569E-05
3.57,1.8336E-05
3.58,1.53443E-05
3.59,3.40663E-05
3.6,4.40063E-05
3.61,1.41862E-05
3.62,1.06156E-06
3.63,1.65024E-05
3.64,3.65754E-05
3.65,2.99166E-05
3.66,2.99166E-06
3.67,1.92045E-05
3.68,3.58034E-05
3.69,1.53443E-05
3.7,2.30647E-05
3.71,4.49714E-05
3.72,2.9434E-05
3.73,1.99766E-05
3.74,1.29317E-05
3.75,4.92176E-06
3.76,2.02661E-05
3.77,3.50313E-05
3.78,3.59964E-05
3.79,2.07486E-05
3.8,1.06156E-05
3.81,2.69249E-05
3.82,3.19432E-05
3.83,1.45723E-05
3.84,1.9494E-05
3.85,2.40298E-05
3.86,1.61163E-05
3.87,2.22927E-05
3.88,1.70814E-05
3.89,1.76604E-05
3.9,3.11711E-05
3.91,3.40663E-05
3.92,2.42228E-05
3.93,8.78196E-06
3.94,1.61163E-05
3.95,2.30647E-05
3.96,1.54408E-05
3.97,3.19432E-05
3.98,4.55504E-05
3.99,2.07486E-05
4,1.44758E-06
4.01,2.59599E-05
4.02,3.46453E-05
4.03,9.16798E-06
4.04,3.69614E-05
4.05,4.08216E-05
4.06,-1.24492E-05
4.07,3.95671E-06
4.08,4.7963E-05
4.09,3.12676E-05
4.1,1.27387E-05
4.11,2.36437E-05
4.12,4.02426E-05
4.13,1.76604E-05
4.14,2.02661E-06
4.15,2.33542E-05
4.16,1.61163E-05
4.17,1.12911E-05
4.18,3.92776E-05
4.19,4.66119E-05
4.2,2.38368E-05
4.21,6.27283E-06
4.22,7.23788E-06
4.23,2.01696E-05
4.24,4.02426E-05
4.25,4.78665E-05
4.26,1.92045E-05
4.27,1.64059E-06
4.28,6.27283E-06
4.29,2.31612E-05
4.3,3.8602E-05
4.31,3.50313E-05
4.32,2.30647E-05
4.33,1.61163E-05
4.34,9.07148E-06
4.35,1.53443E-05
4.36,3.09781E-05
4.37,2.789E-05
4.38,1.05191E-05
4.39,2.85655E-05
4.4,3.77335E-05
4.41,1.77569E-05
4.42,1.0326E-05
4.43,3.7637E-06
4.44,3.783E-05
4.45,5.36568E-05
4.46,3.47418E-06
4.47,9.16798E-06
4.48,3.07851E-05
4.49,2.17136E-05
4.5,4.15937E-05
4.51,3.75405E-05
4.52,-6.94836E-06
4.53,5.88681E-06
4.54,4.54539E-05
4.55,2.51878E-05
4.56,1.32212E-05
4.57,3.64789E-05
4.58,3.26187E-05
4.59,7.81691E-06
4.6,9.36099E-06
4.61,2.20032E-05
4.62,2.48983E-05
4.63,2.02661E-05
4.64,3.56104E-05
4.65,3.62859E-05
4.66,8.78196E-06
4.67,-9.65051E-08
4.68,2.16171E-05
4.69,3.63824E-05
4.7,2.52843E-05
4.71,3.16537E-05
4.72,3.21362E-05
4.73,5.7903E-06
4.74,1.26422E-05
4.75,3.21362E-05
4.76,1.72744E-05
4.77,1.56338E-05
4.78,5.70345E-05
4.79,2.62494E-05
4.8,-1.34142E-05
4.81,0.00004777
4.82,4.61294E-05
4.83,-1.50548E-05
4.84,2.31612E-06
4.85,4.86386E-05
4.86,2.17136E-05
4.87,1.05191E-05
4.88,5.6938E-05
4.89,3.07851E-05
4.9,-2.8276E-05
4.91,1.25457E-05
4.92,6.63955E-05
4.93,2.28717E-05
4.94,-4.05321E-06
4.95,3.67684E-05
4.96,3.07851E-05
4.97,9.65051E-07
4.98,1.60198E-05
4.99,4.31378E-05
5,4.22692E-05
5.01,1.30282E-05
5.02,1.72744E-05
5.03,2.53808E-05
5.04,2.21962E-06
5.05,2.99166E-05
5.06,6.55269E-05
5.07,2.10381E-05
5.08,-8.20293E-06
5.09,2.8276E-05
5.1,2.8083E-05
5.11,-7.6239E-06
5.12,2.96271E-05
5.13,6.39829E-05
5.14,1.37037E-05
5.15,-2.89515E-06
5.16,3.88915E-05
5.17,3.91811E-05
5.18,-4.14972E-06
5.19,-7.23788E-06
5.2,6.04122E-05
5.21,6.7457E-05
5.22,-1.05191E-05
5.23,-6.85186E-06
5.24,4.8156E-05
5.25,2.38368E-05
5.26,3.37768E-06
5.27,3.31012E-05
5.28,4.46818E-05
5.29,2.69249E-05
5.3,2.01696E-05
5.31,1.52478E-05
5.32,6.46584E-06
5.33,2.69249E-05
5.34,4.97001E-05
5.35,1.28352E-05
5.36,1.17736E-05
5.37,3.7251E-05
5.38,1.9301E-05
5.39,1.21596E-05
5.4,1.8336E-05
5.41,1.9687E-05
5.42,3.51278E-05
5.43,2.8855E-05
5.44,1.04226E-05
5.45,2.48983E-05
5.46,2.32577E-05
5.47,2.61529E-05
5.48,3.33908E-05
5.49,4.43923E-06
5.5,1.55373E-05
5.51,5.02791E-05
5.52,3.07851E-05
5.53,1.73709E-06
5.54,1.77569E-05
5.55,3.47418E-05
5.56,3.21362E-05
5.57,8.10643E-06
5.58,1.32212E-05
5.59,5.72275E-05
5.6,3.59964E-05
5.61,-3.08816E-06
5.62,1.46688E-05
5.63,2.75039E-05
5.64,2.98201E-05
5.65,1.38002E-05
5.66,7.04487E-06
5.67,4.06286E-05
5.68,4.94106E-05
5.69,4.53574E-06
5.7,2.89515E-06
5.71,3.06886E-05
5.72,3.31012E-05
5.73,2.34507E-05
5.74,9.16798E-06
5.75,2.46088E-05
5.76,5.58764E-05
5.77,2.07486E-05
5.78,-1.36072E-05
5.79,2.29682E-05
5.8,3.96636E-05
5.81,2.41263E-05
5.82,2.63459E-05
5.83,3.8795E-05
5.84,3.8023E-05
5.85,-1.65024E-05
5.86,-6.27283E-06
5.87,6.04122E-05
5.88,4.44888E-05
5.89,6.46584E-06
5.9,2.02661E-05
5.91,2.23892E-05
5.92,0.000009554
5.93,1.18701E-05
5.94,3.11711E-05
5.95,5.54904E-05
5.96,2.85655E-05
5.97,-1.55373E-05
5.98,1.22561E-05
5.99,2.7697E-05
6,3.05921E-05
6.01,5.79995E-05
6.02,2.49948E-05
6.03,5.88681E-06
6.04,1.40897E-05
6.05,2.89515E-06
6.06,3.63824E-05
6.07,4.97966E-05
6.08,1.9687E-05
6.09,-3.8602E-06
6.1,3.40663E-05
6.11,4.19797E-05
6.12,9.16798E-06
6.13,3.27152E-05
6.14,3.86985E-05
6.15,6.65885E-06
6.16,-1.44758E-06
6.17,3.03026E-05
6.18,4.40063E-05
6.19,1.32212E-05
6.2,1.79499E-05
6.21,3.94706E-05
6.22,1.70814E-05
6.23,-1.65989E-05
6.24,3.8795E-05
6.25,7.69145E-05
6.26,1.77569E-05
6.27,-2.789E-05
6.28,2.21962E-06
6.29,7.32473E-05
6.3,5.21127E-05
6.31,-2.49948E-05
6.32,1.77569E-05
6.33,5.91576E-05
6.34,1.65024E-05
6.35,-7.91342E-06
6.36,2.8855E-05
6.37,6.80361E-05
6.38,2.87585E-05
6.39,-4.17867E-05
6.4,1.0326E-05
6.41,8.92672E-05
6.42,4.80595E-05
6.43,-3.71545E-05
6.44,-1.00365E-05
6.45,8.48279E-05
6.46,4.50679E-05
6.47,-4.17867E-05
6.48,2.15206E-05
6.49,6.89046E-05
6.5,2.9048E-05
6.51,6.85186E-06
6.52,1.06156E-06
6.53,2.34507E-05
6.54,5.85786E-05
6.55,6.85186E-06
6.56,-1.31247E-05
6.57,7.13172E-05
6.58,0.000057324
6.59,-2.9048E-05
6.6,9.65051E-07
6.61,4.89281E-05
6.62,4.22692E-05
6.63,1.68884E-05
6.64,-5.6938E-06
6.65,3.10746E-05
6.66,6.51409E-05
6.67,1.07121E-05
6.68,-1.53443E-05
6.69,2.67319E-05
6.7,4.99896E-05
6.71,3.18467E-05
6.72,2.89515E-06
6.73,9.16798E-06
6.74,4.56469E-05
6.75,1.74674E-05
6.76,-6.75535E-06
6.77,3.7251E-05
6.78,3.783E-05
6.79,1.30282E-05
6.8,3.07851E-05
6.81,3.92776E-05
6.82,2.75039E-05
6.83,5.11477E-06
6.84,-6.94836E-06
6.85,3.47418E-05
6.86,4.90246E-05
6.87,1.49583E-05
6.88,1.9687E-05
6.89,3.65754E-05
6.9,1.84325E-05
6.91,-9.65051E-08
6.92,3.83125E-05
6.93,4.40063E-05
6.94,-1.34142E-05
6.95,1.33177E-05
6.96,5.7131E-05
6.97,1.38967E-05
6.98,6.94836E-06
6.99,4.39098E-05
7,4.53574E-05
7.01,4.53574E-06
7.02,-0.000009554
7.03,3.18467E-05
7.04,6.16667E-05
7.05,1.68884E-05
7.06,-2.41263E-06
7.07,3.05921E-05
7.08,3.32942E-05
7.09,1.84325E-05
7.1,2.56703E-05
7.11,2.68284E-05
7.12,2.46088E-05
7.13,2.35472E-05
7.14,1.0133E-05
7.15,2.48983E-05
7.16,4.00496E-05
7.17,1.45723E-05
7.18,1.90115E-05
7.19,2.25822E-05
7.2,1.18701E-05
7.21,2.91445E-05
7.22,3.48383E-05
7.23,2.20032E-05
7.24,2.19067E-05
7.25,1.59233E-05
7.26,1.70814E-05
7.27,3.8602E-05
7.28,2.31612E-05
7.29,1.50548E-05
7.3,3.783E-05
7.31,9.74701E-06
7.32,1.62129E-05
7.33,4.21727E-05
7.34,1.25457E-05
7.35,1.86255E-05
7.36,3.69614E-05
7.37,3.95671E-06
7.38,2.18101E-05
7.39,6.28248E-05
7.4,2.96271E-05
7.41,-3.66719E-06
7.42,-9.65051E-08
7.43,2.76005E-05
7.44,4.6805E-05
7.45,1.08086E-05
7.46,3.57069E-06
7.47,3.93741E-05
7.48,4.19797E-05
7.49,1.55373E-05
7.5,1.13876E-05
7.51,3.07851E-05
7.52,2.7697E-05
7.53,1.22561E-05
7.54,1.65024E-05
7.55,3.07851E-05
7.56,2.21962E-05
7.57,4.53574E-06
7.58,3.48383E-05
7.59,5.52009E-05
7.6,4.09181E-05
7.61,1.12911E-05
7.62,-2.58634E-05
7.63,-2.60564E-06
7.64,5.24023E-05
7.65,6.09912E-05
7.66,3.21362E-05
7.67,-4.53574E-06
7.68,4.53574E-06
7.69,3.49348E-05
7.7,3.71545E-05
7.71,2.789E-05
7.72,3.33908E-05
7.73,5.7903E-06
7.74,-1.49583E-05
7.75,2.23892E-05
7.76,5.39463E-05
7.77,2.46088E-05
7.78,1.77569E-05
7.79,3.88915E-05
7.8,2.56703E-05
7.81,2.03626E-05
7.82,2.06521E-05
7.83,7.04487E-06
7.84,1.0326E-05
7.85,3.00131E-05
7.86,5.54904E-05
7.87,3.46453E-05
7.88,-1.64059E-06
7.89,8.78196E-06
7.9,2.9241E-05
7.91,2.99166E-05
7.92,3.19432E-05
7.93,3.85055E-05
7.94,2.05556E-05
7.95,4.82525E-06
7.96,-9.65051E-08
7.97,2.37402E-05
7.98,5.89646E-05
7.99,3.61894E-05
8,1.08086E-05
8.01,2.07486E-05
8.02,2.38368E-05
8.03,4.92176E-06
8.04,-9.26449E-06
8.05,4.23657E-05
8.06,6.85186E-05
8.07,1.8722E-05
8.08,6.36933E-06
8.09,3.27152E-05
8.1,4.42958E-05
8.11,6.85186E-06
8.12,-0.000009554
8.13,3.92776E-05
8.14,4.8542E-05
8.15,-5.7903E-07
8.16,1.30282E-05
8.17,6.11842E-05
8.18,3.58999E-05
8.19,-3.47418E-06
8.2,1.68884E-05
8.21,3.46453E-05
8.22,2.60564E-05
8.23,-9.65051E-08
8.24,1.38002E-05
8.25,3.83125E-05
8.26,2.63459E-05
8.27,4.00496E-05
8.28,3.53209E-05
8.29,2.31612E-06
8.3,2.41263E-06
8.31,3.07851E-05
8.32,4.76735E-05
8.33,1.31247E-05
8.34,8.39594E-06
8.35,3.13641E-05
8.36,4.44888E-05
8.37,1.9301E-05
8.38,-3.57069E-06
8.39,3.28117E-05
8.4,5.29813E-05
8.41,2.36437E-05
8.42,-9.65051E-08
8.43,2.13276E-05
8.44,2.20032E-05
8.45,-1.24492E-05
8.46,4.46818E-05
8.47,6.78431E-05
8.48,-2.41263E-06
8.49,4.58399E-05
8.5,5.38498E-05
8.51,-5.771E-05
8.52,-2.27752E-05
8.53,8.00027E-05
8.54,6.08947E-05
8.55,2.05556E-05
8.56,2.24857E-05
8.57,1.06156E-06
8.58,1.37037E-05
8.59,5.45254E-05
8.6,2.98201E-05
8.61,2.99166E-06
8.62,3.20397E-05
8.63,4.10147E-05
8.64,-8.49245E-06
8.65,1.65024E-05
8.66,5.85786E-05
8.67,1.0133E-05
8.68,2.03626E-05
8.69,5.27883E-05
8.7,1.53443E-05
8.71,9.26449E-06
8.72,2.69249E-05
8.73,2.16171E-05
8.74,1.8336E-06
8.75,1.25457E-05
8.76,4.25587E-05
8.77,1.93975E-05
8.78,1.11946E-05
8.79,5.78065E-05
8.8,5.12442E-05
8.81,-2.01696E-05
8.82,9.4575E-06
8.83,4.54539E-05
8.84,-1.18701E-05
8.85,1.22561E-05
8.86,7.45019E-05
8.87,3.63824E-05
8.88,1.19666E-05
8.89,3.03991E-05
8.9,2.32577E-05
8.91,-3.8602E-07
8.92,2.01696E-05
8.93,3.29082E-05
8.94,3.18467E-05
8.95,3.16537E-05
8.96,5.30778E-06
8.97,6.36933E-06
8.98,6.99662E-05
8.99,5.07617E-05
9,-3.20397E-05
9.01,-1.73709E-06
9.02,5.39463E-05
9.03,3.85055E-05
9.04,8.10643E-06
9.05,2.11346E-05
9.06,3.23292E-05
9.07,-7.91342E-06
9.08,-1.33177E-05
9.09,5.82891E-05
9.1,0.000105384
9.11,5.55869E-05
9.12,-5.17267E-05
9.13,-5.87716E-05
9.14,3.33908E-05
9.15,7.63355E-05
9.16,4.95071E-05
9.17,3.37768E-05
9.18,2.02661E-05
9.19,-7.7204E-07
9.2,3.69614E-05
9.21,4.05321E-05
9.22,-1.86255E-05
9.23,1.80465E-05
9.24,4.12077E-05
9.25,-3.57069E-06
9.26,1.10981E-05
9.27,8.66615E-05
9.28,7.82656E-05
9.29,-2.67319E-05
9.3,-5.22092E-05
9.31,5.22092E-05
9.32,7.01592E-05
9.33,-1.46688E-05
9.34,4.92176E-06
9.35,6.20528E-05
9.36,3.42593E-05
9.37,1.80465E-05
9.38,2.38368E-05
9.39,1.988E-05
9.4,2.11346E-05
9.41,2.49948E-05
9.42,1.34142E-05
9.43,1.99766E-05
9.44,5.08582E-05
9.45,3.70579E-05
9.46,-4.72875E-06
9.47,9.4575E-06
9.48,3.8023E-05
9.49,2.69249E-05
9.5,3.88915E-05
9.51,4.6998E-05
9.52,-5.30778E-06
9.53,-1.36072E-05
9.54,4.7577E-05
9.55,3.57069E-05
9.56,-3.18467E-06
9.57,2.8276E-05
9.58,3.40663E-05
9.59,1.00365E-05
9.6,2.62494E-05
9.61,4.37168E-05
9.62,4.33308E-05
9.63,1.65024E-05
9.64,-1.31247E-05
9.65,1.82395E-05
9.66,3.03991E-05
9.67,1.78534E-05
9.68,6.35968E-05
9.69,6.13772E-05
9.7,-2.76005E-05
9.71,-1.51513E-05
9.72,5.52974E-05
9.73,5.43324E-05
9.74,1.90115E-05
9.75,8.49245E-06
9.76,-9.65051E-08
9.77,7.04487E-06
9.78,4.76735E-05
9.79,6.90011E-05
9.8,3.10746E-05
9.81,-1.28352E-05
9.82,-2.52843E-05
9.83,1.97835E-05
9.84,6.56234E-05
9.85,4.62259E-05
9.86,5.50079E-06
9.87,2.99166E-06
9.88,3.38733E-05
9.89,4.44888E-05
9.9,1.0133E-05
9.91,1.44758E-05
9.92,4.23657E-05
9.93,2.48983E-05
9.94,1.52478E-05
9.95,2.61529E-05
9.96,7.23788E-06
9.97,3.11711E-05
9.98,4.48749E-05
9.99,1.08086E-05
10,1.8143E-05
10.01,4.12077E-05
10.02,2.38368E-05
10.03,1.62129E-05
10.04,3.64789E-05
10.05,2.14241E-05
10.06,1.73709E-06
10.07,-7.43089E-06
10.08,2.26787E-05
10.09,8.00992E-05
10.1,4.31378E-05
10.11,1.44758E-06
10.12,1.8722E-05
10.13,9.36099E-06
10.14,-7.23788E-06
10.15,2.41263E-05
10.16,7.27648E-05
10.17,5.24023E-05
10.18,-9.36099E-06
10.19,2.01696E-05
10.2,4.90246E-05
10.21,-9.65051E-08
10.22,-2.60564E-06
10.23,3.52244E-05
10.24,5.33673E-05
10.25,4.41028E-05
10.26,4.14972E-06
10.27,-6.85186E-06
10.28,3.7251E-05
10.29,4.56469E-05
10.3,1.53443E-05
10.31,1.10981E-05
10.32,3.71545E-05
10.33,3.783E-05
10.34,8.68546E-06
10.35,2.42228E-05
10.36,4.10147E-05
10.37,-8.68546E-07
10.38,-1.09051E-05
10.39,5.16302E-05
10.4,4.96036E-05
10.41,3.59964E-05
10.42,4.10147E-05
10.43,-7.14137E-06
10.44,-1.00365E-05
10.45,5.57799E-05
10.46,5.54904E-05
10.47,-1.58268E-05
10.48,-2.70214E-06
10.49,7.5467E-05
10.5,4.6805E-05
10.51,-1.41862E-05
10.52,4.43923E-06
10.53,3.02061E-05
10.54,4.6805E-05
10.55,4.15937E-05
10.56,1.56338E-05
10.57,-3.18467E-06
10.58,-1.60198E-05
10.59,3.36803E-05
10.6,8.01957E-05
10.61,4.33308E-05
10.62,1.99766E-05
10.63,-4.82525E-07
10.64,-9.74701E-06
10.65,2.61529E-05
10.66,5.07617E-05
10.67,4.12077E-05
10.68,9.4575E-06
10.69,2.34507E-05
10.7,5.12442E-05
10.71,1.50548E-05
10.72,-1.9301E-07
10.73,2.19067E-05
10.74,3.34873E-05
10.75,2.8469E-05
10.76,2.73109E-05
10.77,4.02426E-05
10.78,2.40298E-05
10.79,-9.65051E-08
10.8,2.69249E-05
10.81,3.42593E-05
10.82,2.46088E-05
10.83,2.8855E-05
10.84,1.30282E-05
10.85,1.30282E-05
10.86,1.75639E-05
10.87,2.19067E-05
10.88,4.08216E-05
10.89,4.96036E-05
10.9,2.8083E-05
10.91,-2.31612E-06
10.92,1.35107E-06
10.93,3.50313E-05
10.94,5.93506E-05
10.95,2.8855E-05
10.96,-5.30778E-06
10.97,1.74674E-05
10.98,2.30647E-05
10.99,4.00496E-05
11,5.23057E-05
11.01,3.18467E-06
11.02,1.05191E-05
11.03,3.07851E-05
11.04,9.74701E-06
11.05,1.99766E-05
11.06,3.8409E-05
11.07,3.63824E-05
11.08,1.56338E-05
11.09,2.72144E-05
11.1,4.34273E-05
11.11,1.40897E-05
11.12,-1.35107E-06
11.13,1.41862E-05
11.14,2.62494E-05
11.15,4.17867E-05
11.16,5.56834E-05
11.17,2.27752E-05
11.18,-1.18701E-05
11.19,1.25457E-05
11.2,4.8156E-05
11.21,3.66719E-05
11.22,6.56234E-06
11.23,3.90846E-05
11.24,5.91576E-05
11.25,-9.65051E-08
11.26,-1.76604E-05
11.27,2.50913E-05
11.28,3.92776E-05
11.29,0.000028662
11.3,4.8156E-05
11.31,4.82525E-05
11.32,1.05191E-05
11.33,-2.34507E-05
11.34,-8.39594E-06
11.35,4.30413E-05
11.36,4.31378E-05
11.37,4.21727E-05
11.38,6.14737E-05
11.39,1.16771E-05
11.4,-1.68884E-05
11.41,-7.7204E-07
11.42,5.30778E-06
11.43,3.65754E-05
11.44,6.60095E-05
11.45,7.566E-05
11.46,3.42593E-05
11.47,-4.60329E-05
11.48,-2.64424E-05
11.49,4.6805E-05
11.5,6.92906E-05
11.51,5.21127E-05
11.52,3.51278E-05
11.53,1.74674E-05
11.54,-1.78534E-05
11.55,-1.86255E-05
11.56,2.30647E-05
11.57,6.43689E-05
